iter	RMSE
0	2014288232
1	1968708472
2	1916496852
3	1891267060
4	1849944121
5	1820129076
6	1797644606
7	1762234313
8	1734140742
9	1704204465
10	1688762935
11	1655513701
12	1619146663
13	1598682956
14	1588399607
15	1561456027
16	1536507443
17	1522828797
18	1518927534
19	1492584481
20	1474938799
21	1468515218
22	1458492223
23	1455546902
24	1440885446
25	1437129975
26	1416993762
27	1413259780
28	1401425950
29	1398271544
30	1380325641
31	1374063038
32	1357195443
33	1344296323
34	1336475128
35	1325635410
36	1320355647
37	1312459240
38	1305782740
39	1299607113
40	1290753568
41	1281077353
42	1279342685
43	1277788146
44	1272246362
45	1268664557
46	1263485636
47	1258984937
48	1257339161
49	1244419728
50	1239648656
51	1235427591
52	1224616890
53	1221043940
54	1218779748
55	1216750303
56	1205799177
57	1204859899
58	1203325526
59	1202825896
60	1197808330
61	1188977947
62	1188896852
63	1184601311
64	1182996271
65	1180839416
66	1176872368
67	1173670776
68	1172054789
69	1161535169
70	1161374762
71	1160379926
72	1157803874
73	1156068562
74	1148657235
75	1143530717
76	1141117366
77	1139286486
78	1132594693
79	1124137268
80	1122706639
81	1116931501
82	1115533094
83	1113093673
84	1111642101
85	1111067405
86	1109638077
87	1107532001
88	1105512778
89	1103676327
90	1101585020
91	1099819274
92	1098980777
93	1097985369
94	1097228423
95	1093430077
96	1088683492
97	1088173585
98	1087640653
99	1081167128
100	1079305070
101	1078335697
102	1074316419
103	1070929021
104	1068302111
105	1066601141
106	1062248756
107	1059620334
108	1058757812
109	1055755197
110	1054439246
111	1051243531
112	1048808576
113	1047652145
114	1047094277
115	1046123527
116	1042861538
117	1038453811
118	1035767473
119	1034929440
120	1032995825
121	1032169735
122	1031095821
123	1030338205
124	1029659793
125	1029399372
126	1029169838
127	1028543710
128	1028053455
129	1025575879
130	1023435014
131	1022737134
132	1020757273
133	1019988169
134	1019423813
135	1013439122
136	1013223370
137	1010435987
138	1008418932
139	1006815009
140	1005068923
141	1004532474
142	1002678025
143	1002157812
144	1000043250
145	999690611.3
146	996546036.1
147	991725050.7
148	990405856.2
149	989284362.4
150	988832324.6
151	988317996.2
152	986743415.5
153	986372645.8
154	984919070.5
155	983302018.2
156	981034030.1
157	980572590.6
158	979625112.9
159	977162106.5
160	976870893
161	975677870.5
162	974904548.5
163	974681512
164	968855278.3
165	964913996.4
166	964254246.5
167	963308757.4
168	961718543.4
169	961058827.3
170	958002807
171	956340792.2
172	956066006.8
173	951200534.4
174	950862632.6
175	949838341.9
176	949481105.8
177	947870456.4
178	947549864.1
179	947210845.8
180	946843901.6
181	946557985.3
182	946151792.1
183	942129824.6
184	940669017.1
185	939141345.6
186	937262848.1
187	935988467.8
188	934968340.8
189	934153418.2
190	933827492.1
191	933552974.9
192	930423567
193	930208395
194	929585446.5
195	927625854.1
196	924246100.9
197	923427244.2
198	923231492.3
199	922845195
200	921892458.9
201	921589714.9
202	921343745.8
203	920637804.2
204	919729784.7
205	917446159.1
206	916792640.5
207	916473764.5
208	915188217.5
209	915036969.8
210	913636981.3
211	911559724.1
212	910515961.7
213	909232229.8
214	907773380.9
215	907555257.5
216	907455219.4
217	906422579.6
218	905626289.4
219	905446895.9
220	904718821.5
221	904494000.7
222	903481176.8
223	900748570.4
224	899850533.4
225	898994310.7
226	898800517.9
227	898581328.6
228	896361320.9
229	893348041.8
230	893197293.6
231	891328380.4
232	891101289.1
233	888754089
234	888553034.3
235	888170588.9
236	887699797
237	886967502.7
238	886849005.3
239	886788445.2
240	885968421.1
241	885638461.4
242	885318361
243	884882593.1
244	883936088.1
245	883713333.9
246	883542858.5
247	883473753.6
248	881421223.6
249	880806482.7
250	880664004.4
251	880001623.8
252	879803797.3
253	879622577.4
254	877760174.4
255	877591255.3
256	875875767.9
257	875572251.5
258	875469433.5
259	875361947.5
260	874484405.9
261	874325375.2
262	873783517.5
263	873311827.1
264	872061821.7
265	871775347.9
266	870872363.2
267	869857962.9
268	868613565.5
269	868411925.5
270	866838189.1
271	864393181.4
272	863367778.1
273	863107048.1
274	861823956.7
275	860320401.4
276	860097866.6
277	859299688
278	858171270.3
279	857685803.5
280	857437757.4
281	857382517.5
282	857164939.3
283	856766607.3
284	856157918.1
285	854979735.2
286	854696694
287	854161871.2
288	854033057.9
289	852340766.2
290	850951061.5
291	850530178.4
292	850136005.1
293	849904043.5
294	847357343.9
295	847332412.9
296	845652629.7
297	845191770.4
298	845013412
299	844760000.2
