iter	Passed	Remaining
0	0	76
1	0	72
2	0	70
3	0	65
4	1	64
5	1	63
6	1	63
7	1	61
8	1	61
9	2	60
10	2	60
11	2	61
12	2	61
13	2	60
14	3	64
15	3	64
16	3	63
17	4	62
18	4	63
19	4	65
20	4	64
21	5	64
22	5	64
23	5	63
24	5	63
25	5	62
26	6	61
27	6	61
28	6	60
29	6	60
30	17	155
31	18	152
32	18	150
33	18	147
34	19	144
35	19	142
36	19	139
37	19	136
38	20	133
39	20	131
40	20	128
41	20	126
42	20	124
43	21	122
44	21	120
45	21	118
46	21	116
47	21	115
48	22	113
49	22	112
50	22	110
51	22	109
52	23	107
53	23	106
54	23	106
55	24	105
56	24	104
57	24	103
58	24	101
59	25	100
60	25	99
61	25	98
62	26	97
63	26	96
64	26	95
65	26	95
66	27	94
67	27	93
68	27	92
69	27	91
70	27	90
71	28	89
72	28	89
73	29	88
74	29	88
75	29	87
76	29	86
77	31	88
78	31	87
79	31	86
80	31	85
81	31	85
82	32	84
83	32	83
84	32	82
85	32	81
86	33	80
87	33	80
88	33	79
89	33	78
90	34	78
91	34	77
92	34	76
93	34	76
94	34	75
95	35	74
96	36	75
97	36	75
98	36	74
99	36	73
100	37	73
101	37	72
102	37	71
103	37	71
104	38	70
105	38	70
106	38	69
107	39	69
108	39	68
109	39	68
110	39	67
111	40	67
112	40	66
113	40	66
114	41	66
115	41	65
116	41	65
117	41	64
118	42	64
119	42	63
120	42	63
121	43	63
122	43	62
123	43	62
124	44	61
125	44	61
126	44	61
127	45	60
128	45	60
129	45	59
130	46	59
131	46	59
132	46	58
133	47	58
134	47	57
135	47	57
136	47	57
137	48	56
138	49	57
139	49	56
140	49	56
141	49	55
142	50	55
143	50	54
144	50	54
145	50	53
146	51	53
147	51	52
148	51	52
149	51	51
150	52	51
151	52	50
152	52	50
153	52	50
154	52	49
155	53	49
156	53	48
157	53	48
158	53	47
159	54	47
160	54	46
161	54	46
162	54	45
163	54	45
164	55	45
165	55	44
166	55	44
167	55	43
168	56	43
169	56	43
170	56	42
171	57	42
172	57	42
173	58	42
174	58	42
175	59	42
176	60	42
177	61	42
178	62	42
179	62	41
180	66	43
181	67	43
182	68	44
183	69	43
184	69	43
185	70	43
186	70	42
187	71	42
188	71	42
189	72	41
190	72	41
191	73	41
192	74	41
193	75	41
194	76	40
195	76	40
196	77	40
197	77	39
198	78	39
199	78	39
200	79	39
201	80	39
202	81	38
203	81	38
204	81	37
205	81	37
206	82	36
207	82	36
208	83	36
209	83	35
210	83	35
211	84	34
212	84	34
213	84	34
214	85	33
215	85	33
216	85	32
217	86	32
218	86	31
219	86	31
220	87	31
221	87	30
222	88	30
223	88	30
224	89	29
225	89	29
226	90	28
227	90	28
228	90	28
229	91	27
230	91	27
231	91	26
232	92	26
233	92	26
234	93	25
235	93	25
236	94	25
237	95	24
238	95	24
239	96	24
240	96	23
241	97	23
242	97	22
243	98	22
244	98	22
245	98	21
246	99	21
247	99	20
248	99	20
249	100	20
250	100	19
251	100	19
252	101	18
253	101	18
254	101	17
255	102	17
256	102	17
257	103	16
258	103	16
259	104	16
260	104	15
261	104	15
262	105	14
263	105	14
264	106	14
265	106	13
266	107	13
267	107	12
268	107	12
269	108	12
270	108	11
271	108	11
272	109	10
273	109	10
274	109	9
275	110	9
276	110	9
277	111	8
278	111	8
279	111	7
280	111	7
281	112	7
282	112	6
283	113	6
284	113	5
285	113	5
286	113	5
287	114	4
288	114	4
289	114	3
290	115	3
291	115	3
292	115	2
293	116	2
294	116	1
295	117	1
296	117	1
297	118	0
298	118	0
299	118	0
