"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","12,807.07","12,737.50","12,807.07","12,730.27","","0.55%"
"09/01/2024","12,737.50","12,643.38","12,819.73","12,608.47","","0.59%"
"08/01/2024","12,662.50","12,581.00","12,715.00","12,461.66","","0.65%"
"07/01/2024","12,581.00","12,543.50","12,670.00","12,510.82","","0.30%"
"06/01/2024","12,543.50","12,610.64","12,818.67","1,630.00","","-0.80%"
"05/01/2024","12,645.00","12,635.00","12,766.55","12,560.21","","0.08%"
"04/01/2024","12,635.00","12,611.21","12,807.77","12,554.53","","0.19%"
"03/01/2024","12,611.21","12,525.00","13,660.00","12,448.85","","0.69%"
"02/01/2024","12,525.00","12,435.00","12,543.53","2.00","","0.72%"
"01/01/2024","12,435.00","12,362.17","12,450.00","12,304.52","","0.59%"
"12/01/2023","12,362.17","12,281.49","12,459.62","123.00","","0.66%"
"11/01/2023","12,281.49","12,237.50","12,325.00","12,117.37","","0.36%"
"10/01/2023","12,237.50","12,225.95","12,320.90","12,126.23","","0.27%"
"09/01/2023","12,205.00","12,103.23","13,075.00","12,102.44","","0.84%"
"08/01/2023","12,103.23","11,625.00","12,137.70","1,610.00","","4.11%"
"07/01/2023","11,625.00","11,448.71","11,765.62","114.00","","0.78%"
"06/01/2023","11,535.00","11,425.00","11,580.54","11,352.96","","0.96%"
"05/01/2023","11,425.00","11,408.01","11,530.64","11,395.32","","0.15%"
"04/01/2023","11,408.01","11,433.21","11,460.00","11,365.26","","-0.22%"
"03/01/2023","11,433.21","11,336.04","11,460.00","11,336.04","","0.86%"
"02/01/2023","11,336.04","11,269.82","11,375.00","11,269.82","","0.59%"
"01/01/2023","11,269.82","11,246.81","11,342.14","11,241.75","","0.40%"
"12/01/2022","11,225.00","11,212.97","11,300.00","11,170.01","","0.11%"
"11/01/2022","11,212.97","11,169.38","11,246.11","11,108.03","","0.39%"
